ODS_CODE,Trust_Name,NHS_Region,ICB_Name,Total_Cost_GBP,Total_Qty_mL,Total_Vials,Months_Active,First_Month,Last_Month,Trust_Postcode,Avg_Monthly_Cost,Cost_Rank
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,East of England,Unknown ICB,1837010.66,224960.0,14852.0,82,2019-04-01,2026-01-01,CM20 1QX,22403.0,52
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,North West,Unknown ICB,1810123.27,226076.0,13791.0,82,2019-04-01,2026-01-01,L35 5DR,22075.0,53
RAS,Unknown Trust,London,Unknown ICB,1797307.04,202800.0,16823.0,82,2019-04-01,2026-01-01,KT22 8SD,21918.0,54
RNN,Unknown Trust,Midlands,Unknown ICB,1780513.76,214650.0,14542.0,76,2019-10-01,2026-01-01,NN1 5BD,23428.0,55
RRF,Unknown Trust,North West,Unknown ICB,1725765.47,219330.0,12513.0,82,2019-04-01,2026-01-01,WA9 3DA,21046.0,56
RJ6,CROYDON HEALTH SERVICES NHS TRUST,London,Unknown ICB,1717349.84,222904.0,14085.0,82,2019-04-01,2026-01-01,CR7 7YE,20943.0,57
RFF,Unknown Trust,Midlands,Unknown ICB,1709256.54,185682.0,17472.0,82,2019-04-01,2026-01-01,NG5 1PB,20845.0,58
RVW,Unknown Trust,North East & Yorkshire,Unknown ICB,1660264.45,199674.0,14417.0,82,2019-04-01,2026-01-01,NE29 8NH,20247.0,59
RA7,Unknown Trust,South West,Unknown ICB,1627842.55,200682.0,13394.0,82,2019-04-01,2026-01-01,BS16 1EW,19852.0,60
RWW,Unknown Trust,South East,Unknown ICB,1618934.17,207690.0,11347.0,82,2019-04-01,2026-01-01,RG1 5AN,19743.0,61
RTE,Somerset Partnership NHS Foundation Trust (legacy),South West,Unknown ICB,1618214.55,201736.0,13403.0,81,2019-04-01,2026-01-01,TA6 4QA,19978.0,62
RFR,Unknown Trust,North East & Yorkshire,Unknown ICB,1613248.68,202690.0,12065.0,82,2019-04-01,2026-01-01,DN2 5LT,19674.0,63
RGR,Unknown Trust,East of England,Unknown ICB,1579144.71,201100.0,11403.0,76,2019-04-01,2026-01-01,SS2 5XX,20778.0,64
RCF,Unknown Trust,North East & Yorkshire,Unknown ICB,1552001.08,193854.0,11815.0,82,2019-04-01,2026-01-01,LS29 6AS,18927.0,65
RP5,Unknown Trust,South West,Unknown ICB,1548303.09,197246.0,11625.0,82,2019-04-01,2026-01-01,DT1 2JY,18882.0,66
